REG_WL2LTECOEX_INDIRECT_ACCESS_READ_DATA_V1 0x1708
REG_RX_IQC_AB_C 0x1810
REG_RX_IQC_CD_C 0x1814
REG_TXSCALE_C 0x181c
REG_CK_MONHC 0x185c
REG_AFE_PWR1_C 0x1860
REG_IGN_GNT_BT1 0x1860
REG_TX_AGC_C 0x1894
REG_RFE_PINMUX_C 0x18b4
REG_RFESEL_CTRL 0x1990
REG_AGC_TBL 0x1998
REG_RX_IQC_AB_D 0x1a10
REG_RX_IQC_CD_D 0x1a14
REG_TXSCALE_D 0x1a1c
REG_CK_MONHD 0x1a5c
REG_AFE_PWR1_D 0x1a60
REG_TX_AGC_D 0x1a94
REG_RFE_PINMUX_D 0x1ab4
REG_RFE_INVSEL_D 0x1abc
REG_NOMASK_TXBT 0x1ca7
REG_ANAPAR 0x1c30
REG_RSTB_SEL 0x1c38
REG_HRCV_MSG 0x1cf
REG_EDCCA_REPORT 0x2d38
REG_IGN_GNTBT4 0x4160
REG_USB_MOD 0xf008
REG_USB3_RXITV 0xf050
REG_USB2_PHY_ADR 0xfe40
REG_USB2_PHY_DAT 0xfe41
REG_USB2_PHY_CMD 0xfe42
REG_USB_HRPWM 0xfe58
REG_USB3_PHY_ADR 0xff0c
REG_USB3_PHY_DAT_L 0xff0d
REG_USB3_PHY_DAT_H 0xff0e
